"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7063","Logo test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8443","Search field positive test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15279","Nav bar test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31994","Login positive scenario test","chromium","2026-06-26","broken","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5877","Main paige working","Mobile Chrome","2026-06-26","passed","2026-06-26","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","5425","Search field negative test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31741","Registration link test","chromium","2026-06-26","broken","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7631","Main paige working","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6413","Auto dropdown visibility test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31933","Login negative scenario test","chromium","2026-06-26","broken","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10930","Login button test","chromium","2026-06-26","failed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7261","Weather date test","chromium","2026-06-26","passed","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31880","Footer links test","chromium","2026-06-26","broken","2026-06-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
