"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31783","Login negative scenario test","chromium","2026-07-25","broken","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7486","Main paige working","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31720","Login positive scenario test","chromium","2026-07-25","broken","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5937","Main paige working","Mobile Chrome","2026-07-25","passed","2026-07-25","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7746","Search field positive test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31933","Footer links test","chromium","2026-07-25","broken","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4094","Search field negative test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11274","Login button test","chromium","2026-07-25","failed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14845","Nav bar test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6836","Weather date test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31954","Registration link test","chromium","2026-07-25","broken","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5935","Auto dropdown visibility test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6947","Logo test","chromium","2026-07-25","passed","2026-07-25","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
