"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12347","Login button test","chromium","2026-08-26","failed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6890","Main paige working","Mobile Chrome","2026-08-26","passed","2026-08-26","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31403","Login positive scenario test","chromium","2026-08-26","broken","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31431","Footer links test","chromium","2026-08-26","broken","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14857","Nav bar test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10340","Main paige working","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31789","Login negative scenario test","chromium","2026-08-26","broken","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5489","Search field negative test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6815","Logo test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8091","Weather date test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31492","Registration link test","chromium","2026-08-26","broken","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9868","Auto dropdown visibility test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9994","Search field positive test","chromium","2026-08-26","passed","2026-08-26","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
