"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6437","Search field negative test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31717","Registration link test","chromium","2026-08-31","broken","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31809","Login negative scenario test","chromium","2026-08-31","broken","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13746","Login button test","chromium","2026-08-31","failed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31578","Login positive scenario test","chromium","2026-08-31","broken","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","25442","Weather date test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","17867","Nav bar test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7800","Logo test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31725","Footer links test","chromium","2026-08-31","broken","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8529","Main paige working","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8188","Auto dropdown visibility test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11300","Search field positive test","chromium","2026-08-31","passed","2026-08-31","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8413","Main paige working","Mobile Chrome","2026-08-31","passed","2026-08-31","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
