"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31840","Login positive scenario test","chromium","2026-07-28","broken","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10184","Search field positive test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31671","Login negative scenario test","chromium","2026-07-28","broken","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31390","Footer links test","chromium","2026-07-28","broken","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9011","Main paige working","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7532","Search field negative test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","17163","Nav bar test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8215","Logo test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31620","Registration link test","chromium","2026-07-28","broken","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9018","Main paige working","Mobile Chrome","2026-07-28","passed","2026-07-28","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","10134","Weather date test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13619","Login button test","chromium","2026-07-28","failed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7465","Auto dropdown visibility test","chromium","2026-07-28","passed","2026-07-28","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
