"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6553","Login negative scenario test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4577","Search field negative test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6651","Logo test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8472","Search field positive test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5516","Login positive scenario test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7211","Main paige working","Mobile Chrome","2026-06-02","passed","2026-06-02","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","6891","Weather date test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5529","Registration link test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4587","Auto dropdown visibility test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5322","Login button test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14699","Footer links test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","20430","Nav bar test","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6730","Main paige working","chromium","2026-06-02","passed","2026-06-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
