"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9091","Search field positive test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6754","Main paige working","Mobile Chrome","2026-08-03","passed","2026-08-03","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31392","Login positive scenario test","chromium","2026-08-03","broken","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9651","Weather date test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6538","Logo test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31539","Footer links test","chromium","2026-08-03","broken","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11078","Login button test","chromium","2026-08-03","failed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31492","Registration link test","chromium","2026-08-03","broken","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31379","Login negative scenario test","chromium","2026-08-03","broken","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7390","Auto dropdown visibility test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5664","Search field negative test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8261","Main paige working","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16034","Nav bar test","chromium","2026-08-03","passed","2026-08-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
