"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9405","Main paige working","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","17964","Nav bar test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11670","Search field positive test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11181","Weather date test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31773","Footer links test","chromium","2026-06-19","broken","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7047","Logo test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13196","Login button test","chromium","2026-06-19","failed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31744","Login negative scenario test","chromium","2026-06-19","broken","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5643","Search field negative test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31669","Login positive scenario test","chromium","2026-06-19","broken","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8625","Main paige working","Mobile Chrome","2026-06-19","passed","2026-06-19","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31776","Registration link test","chromium","2026-06-19","broken","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10809","Auto dropdown visibility test","chromium","2026-06-19","passed","2026-06-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
