"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9083","Main paige working","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5649","Auto dropdown visibility test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5003","Search field negative test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31750","Footer links test","chromium","2026-07-18","broken","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","26195","Nav bar test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6612","Main paige working","Mobile Chrome","2026-07-18","passed","2026-07-18","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","11176","Login button test","chromium","2026-07-18","failed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31746","Registration link test","chromium","2026-07-18","broken","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8814","Weather date test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9058","Search field positive test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31821","Login positive scenario test","chromium","2026-07-18","broken","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7831","Logo test","chromium","2026-07-18","passed","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31608","Login negative scenario test","chromium","2026-07-18","broken","2026-07-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
