"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7546","Logo test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31832","Login positive scenario test","chromium","2026-07-13","broken","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7959","Main paige working","Mobile Chrome","2026-07-13","passed","2026-07-13","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","12169","Weather date test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9511","Auto dropdown visibility test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31770","Registration link test","chromium","2026-07-13","broken","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31650","Login negative scenario test","chromium","2026-07-13","broken","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11736","Main paige working","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16348","Nav bar test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31783","Footer links test","chromium","2026-07-13","broken","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5808","Search field negative test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14244","Login button test","chromium","2026-07-13","failed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12616","Search field positive test","chromium","2026-07-13","passed","2026-07-13","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
