"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6730","Main paige working","Mobile Chrome","2026-07-10","passed","2026-07-10","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","15856","Nav bar test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9136","Main paige working","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9058","Weather date test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31678","Registration link test","chromium","2026-07-10","broken","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7805","Auto dropdown visibility test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7486","Logo test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31743","Login positive scenario test","chromium","2026-07-10","broken","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31636","Login negative scenario test","chromium","2026-07-10","broken","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11052","Search field positive test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31717","Footer links test","chromium","2026-07-10","broken","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4990","Search field negative test","chromium","2026-07-10","passed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13633","Login button test","chromium","2026-07-10","failed","2026-07-10","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
