"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","13674","Login button test","chromium","2026-08-09","failed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11099","Weather date test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8442","Logo test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8204","Main paige working","Mobile Chrome","2026-08-09","passed","2026-08-09","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31810","Login negative scenario test","chromium","2026-08-09","broken","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11184","Main paige working","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","18242","Nav bar test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31721","Login positive scenario test","chromium","2026-08-09","broken","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7444","Search field negative test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12399","Search field positive test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31703","Footer links test","chromium","2026-08-09","broken","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10548","Auto dropdown visibility test","chromium","2026-08-09","passed","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31579","Registration link test","chromium","2026-08-09","broken","2026-08-09","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
