"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16640","Nav bar test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6005","Main paige working","Mobile Chrome","2026-06-22","passed","2026-06-22","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","11231","Login button test","chromium","2026-06-22","failed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6439","Auto dropdown visibility test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6019","Main paige working","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5107","Search field negative test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31876","Login positive scenario test","chromium","2026-06-22","broken","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6900","Logo test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31646","Login negative scenario test","chromium","2026-06-22","broken","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8337","Search field positive test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31729","Registration link test","chromium","2026-06-22","broken","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31833","Footer links test","chromium","2026-06-22","broken","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8872","Weather date test","chromium","2026-06-22","passed","2026-06-22","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
