"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8360","Logo test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31716","Footer links test","chromium","2026-08-27","broken","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31586","Login positive scenario test","chromium","2026-08-27","broken","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7355","Search field negative test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8494","Main paige working","Mobile Chrome","2026-08-27","passed","2026-08-27","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31659","Login negative scenario test","chromium","2026-08-27","broken","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10206","Weather date test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16435","Nav bar test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12589","Search field positive test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8380","Auto dropdown visibility test","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31173","Registration link test","chromium","2026-08-27","broken","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14002","Login button test","chromium","2026-08-27","failed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9209","Main paige working","chromium","2026-08-27","passed","2026-08-27","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
