"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8504","Main paige working","Mobile Chrome","2026-08-19","passed","2026-08-19","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31705","Registration link test","chromium","2026-08-19","broken","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31800","Footer links test","chromium","2026-08-19","broken","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31746","Login negative scenario test","chromium","2026-08-19","broken","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13385","Login button test","chromium","2026-08-19","failed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10370","Auto dropdown visibility test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15695","Nav bar test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10819","Weather date test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6646","Search field negative test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9899","Main paige working","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31751","Login positive scenario test","chromium","2026-08-19","broken","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11127","Search field positive test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9290","Logo test","chromium","2026-08-19","passed","2026-08-19","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
