"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9202","Logo test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31728","Login negative scenario test","chromium","2026-07-30","broken","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","17629","Nav bar test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12829","Login button test","chromium","2026-07-30","failed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6248","Search field negative test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31667","Registration link test","chromium","2026-07-30","broken","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9152","Weather date test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7739","Auto dropdown visibility test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31644","Footer links test","chromium","2026-07-30","broken","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9307","Search field positive test","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7867","Main paige working","Mobile Chrome","2026-07-30","passed","2026-07-30","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31701","Login positive scenario test","chromium","2026-07-30","broken","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8225","Main paige working","chromium","2026-07-30","passed","2026-07-30","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
