"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10783","Main paige working","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7372","Logo test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7353","Auto dropdown visibility test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9699","Search field positive test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31845","Footer links test","chromium","2026-06-16","broken","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8297","Login negative scenario test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6588","Registration link test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6250","Login button test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8499","Main paige working","Mobile Chrome","2026-06-16","passed","2026-06-16","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","16035","Nav bar test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8402","Weather date test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5468","Search field negative test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7221","Login positive scenario test","chromium","2026-06-16","passed","2026-06-16","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
