"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4258","Search field negative test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8479","Main paige working","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31853","Footer links test","chromium","2026-06-21","broken","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6578","Logo test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31807","Login negative scenario test","chromium","2026-06-21","broken","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12287","Login button test","chromium","2026-06-21","failed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10635","Search field positive test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8130","Main paige working","Mobile Chrome","2026-06-21","passed","2026-06-21","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31818","Registration link test","chromium","2026-06-21","broken","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16364","Nav bar test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7050","Auto dropdown visibility test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8819","Weather date test","chromium","2026-06-21","passed","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31701","Login positive scenario test","chromium","2026-06-21","broken","2026-06-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
