"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6321","Login negative scenario test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5931","Login positive scenario test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14285","Nav bar test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5541","Login button test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5035","Auto dropdown visibility test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8292","Main paige working","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4668","Search field negative test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14344","Footer links test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8079","Search field positive test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6203","Main paige working","Mobile Chrome","2026-06-03","passed","2026-06-03","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","5730","Registration link test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7674","Weather date test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6257","Logo test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
