"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10968","Weather date test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31745","Login negative scenario test","chromium","2026-09-01","broken","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31883","Registration link test","chromium","2026-09-01","broken","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31629","Login positive scenario test","chromium","2026-09-01","broken","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6406","Search field negative test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31907","Footer links test","chromium","2026-09-01","broken","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7697","Logo test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9486","Main paige working","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12800","Login button test","chromium","2026-09-01","failed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10751","Search field positive test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7743","Main paige working","Mobile Chrome","2026-09-01","passed","2026-09-01","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","17662","Nav bar test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7625","Auto dropdown visibility test","chromium","2026-09-01","passed","2026-09-01","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
