"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31608","Footer links test","chromium","2026-08-12","broken","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8461","Auto dropdown visibility test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31595","Login negative scenario test","chromium","2026-08-12","broken","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9244","Main paige working","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8883","Logo test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8635","Main paige working","Mobile Chrome","2026-08-12","passed","2026-08-12","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31728","Registration link test","chromium","2026-08-12","broken","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11570","Weather date test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","18387","Nav bar test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31667","Login positive scenario test","chromium","2026-08-12","broken","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10941","Search field positive test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13982","Login button test","chromium","2026-08-12","failed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6849","Search field negative test","chromium","2026-08-12","passed","2026-08-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
