"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31775","Login negative scenario test","chromium","2026-08-18","broken","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31903","Registration link test","chromium","2026-08-18","broken","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7560","Logo test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7202","Auto dropdown visibility test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15992","Nav bar test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31812","Login positive scenario test","chromium","2026-08-18","broken","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7652","Main paige working","Mobile Chrome","2026-08-18","passed","2026-08-18","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","8349","Main paige working","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13149","Login button test","chromium","2026-08-18","failed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9700","Search field positive test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31598","Footer links test","chromium","2026-08-18","broken","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6131","Search field negative test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9296","Weather date test","chromium","2026-08-18","passed","2026-08-18","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
