"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","9266","Main paige working","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6635","Login positive scenario test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7732","Main paige working","Mobile Chrome","2026-06-08","passed","2026-06-08","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","6782","Logo test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9409","Search field positive test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15313","Footer links test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6197","Registration link test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7945","Weather date test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7871","Login negative scenario test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5431","Auto dropdown visibility test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6590","Login button test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16100","Nav bar test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5570","Search field negative test","chromium","2026-06-08","passed","2026-06-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
