"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5361","Search field negative test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31801","Footer links test","chromium","2026-09-02","broken","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6139","Main paige working","Mobile Chrome","2026-09-02","passed","2026-09-02","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7624","Main paige working","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9352","Search field positive test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6175","Auto dropdown visibility test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8033","Logo test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11748","Login button test","chromium","2026-09-02","failed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31858","Login negative scenario test","chromium","2026-09-02","broken","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31902","Login positive scenario test","chromium","2026-09-02","broken","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31892","Registration link test","chromium","2026-09-02","broken","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7612","Weather date test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14824","Nav bar test","chromium","2026-09-02","passed","2026-09-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
