"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","8269","Logo test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31803","Registration link test","chromium","2026-07-12","broken","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10575","Login button test","chromium","2026-07-12","failed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31868","Login negative scenario test","chromium","2026-07-12","broken","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6210","Main paige working","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31801","Login positive scenario test","chromium","2026-07-12","broken","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15459","Nav bar test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5485","Auto dropdown visibility test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31843","Footer links test","chromium","2026-07-12","broken","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4275","Search field negative test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5910","Main paige working","Mobile Chrome","2026-07-12","passed","2026-07-12","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7470","Search field positive test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7013","Weather date test","chromium","2026-07-12","passed","2026-07-12","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
