"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31454","Login positive scenario test","chromium","2026-07-21","broken","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15752","Nav bar test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11298","Main paige working","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14582","Login button test","chromium","2026-07-21","failed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6848","Logo test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11405","Weather date test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31537","Login negative scenario test","chromium","2026-07-21","broken","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31564","Footer links test","chromium","2026-07-21","broken","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9103","Main paige working","Mobile Chrome","2026-07-21","passed","2026-07-21","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","9329","Auto dropdown visibility test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5327","Search field negative test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31427","Registration link test","chromium","2026-07-21","broken","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12825","Search field positive test","chromium","2026-07-21","passed","2026-07-21","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
