"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","17787","Nav bar test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7211","Main paige working","Mobile Chrome","2026-07-02","passed","2026-07-02","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","31675","Footer links test","chromium","2026-07-02","broken","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6044","Auto dropdown visibility test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9164","Weather date test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31886","Login positive scenario test","chromium","2026-07-02","broken","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5842","Logo test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8546","Main paige working","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31803","Registration link test","chromium","2026-07-02","broken","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11877","Login button test","chromium","2026-07-02","failed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4121","Search field negative test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31783","Login negative scenario test","chromium","2026-07-02","broken","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","9787","Search field positive test","chromium","2026-07-02","passed","2026-07-02","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
