"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","11359","Weather date test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31298","Registration link test","chromium","2026-08-04","broken","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8722","Auto dropdown visibility test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7699","Logo test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","10303","Main paige working","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8458","Main paige working","Mobile Chrome","2026-08-04","passed","2026-08-04","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","7886","Search field negative test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31333","Login positive scenario test","chromium","2026-08-04","broken","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12813","Search field positive test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31384","Footer links test","chromium","2026-08-04","broken","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","13261","Login button test","chromium","2026-08-04","failed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","15704","Nav bar test","chromium","2026-08-04","passed","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31457","Login negative scenario test","chromium","2026-08-04","broken","2026-08-04","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
