"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","31787","Footer links test","chromium","2026-07-08","broken","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","16775","Nav bar test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6943","Logo test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31554","Login negative scenario test","chromium","2026-07-08","broken","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","8200","Main paige working","Mobile Chrome","2026-07-08","passed","2026-07-08","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","8298","Auto dropdown visibility test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31548","Registration link test","chromium","2026-07-08","broken","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11886","Search field positive test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14630","Weather date test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","14063","Login button test","chromium","2026-07-08","failed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","31487","Login positive scenario test","chromium","2026-07-08","broken","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5462","Search field negative test","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","12087","Main paige working","chromium","2026-07-08","passed","2026-07-08","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
