"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","15006","Nav bar test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","11669","Weather date test","chromium","2026-06-03","failed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6177","Login negative scenario test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6767","Main paige working","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","3914","Search field negative test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6731","Logo test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5092","Login button test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","4198","Auto dropdown visibility test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","7072","Search field positive test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5915","Main paige working","Mobile Chrome","2026-06-03","passed","2026-06-03","Onliner UI mobile","OnlinerUImobile.spec.ts","",""
"","14039","Footer links test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","6041","Registration link test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
"","5473","Login positive scenario test","chromium","2026-06-03","passed","2026-06-03","Onliner UI desktop","OnlinerUIdesktop.spec.ts","",""
